code,units,body,helpers,early,day,night,deep,is_increase,content
160186,858,あり,2,0,2.5,0.5,0,FALSE,身体あり日中２．５・夜間０．５・２人
160187,"1,090",あり,1,2,0.5,0,0.5,FALSE,身体あり深夜０．５・早朝２．０・日中０．５
160188,"1,090",あり,2,2,0.5,0,0.5,FALSE,身体あり深夜０．５・早朝２．０・日中０．５・２人
160189,542,あり,1,0,0,0.5,0.5,FALSE,身体あり夜間０．５・深夜０．５
160190,542,あり,2,0,0,0.5,0.5,FALSE,身体あり夜間０．５・深夜０．５・２人
160191,817,あり,1,0,0,0.5,1,FALSE,身体あり夜間０．５・深夜１．０
160192,817,あり,2,0,0,0.5,1,FALSE,身体あり夜間０．５・深夜１．０・２人
160193,940,あり,1,0,0,0.5,1.5,FALSE,身体あり夜間０．５・深夜１．５
160194,940,あり,2,0,0,0.5,1.5,FALSE,身体あり夜間０．５・深夜１．５・２人
160195,"1,067",あり,1,0,0,0.5,2,FALSE,身体あり夜間０．５・深夜２．０
160196,"1,067",あり,2,0,0,0.5,2,FALSE,身体あり夜間０．５・深夜２．０・２人
160197,"1,192",あり,1,0,0,0.5,2.5,FALSE,身体あり夜間０．５・深夜２．５
160198,"1,192",あり,2,0,0,0.5,2.5,FALSE,身体あり夜間０．５・深夜２．５・２人
160199,780,あり,1,0,0,1,0.5,FALSE,身体あり夜間１．０・深夜０．５
160200,780,あり,2,0,0,1,0.5,FALSE,身体あり夜間１．０・深夜０．５・２人
160201,903,あり,1,0,0,1,1,FALSE,身体あり夜間１．０・深夜１．０
160202,903,あり,2,0,0,1,1,FALSE,身体あり夜間１．０・深夜１．０・２人
160203,"1,030",あり,1,0,0,1,1.5,FALSE,身体あり夜間１．０・深夜１．５
160204,"1,030",あり,2,0,0,1,1.5,FALSE,身体あり夜間１．０・深夜１．５・２人
160205,"1,155",あり,1,0,0,1,2,FALSE,身体あり夜間１．０・深夜２．０
160206,"1,155",あり,2,0,0,1,2,FALSE,身体あり夜間１．０・深夜２．０・２人
160207,857,あり,1,0,0,1.5,0.5,FALSE,身体あり夜間１．５・深夜０．５
160208,857,あり,2,0,0,1.5,0.5,FALSE,身体あり夜間１．５・深夜０．５・２人
160209,985,あり,1,0,0,1.5,1,FALSE,身体あり夜間１．５・深夜１．０
160210,985,あり,2,0,0,1.5,1,FALSE,身体あり夜間１．５・深夜１．０・２人
160211,"1,109",あり,1,0,0,1.5,1.5,FALSE,身体あり夜間１．５・深夜１．５
160212,"1,109",あり,2,0,0,1.5,1.5,FALSE,身体あり夜間１．５・深夜１．５・２人
160213,964,あり,1,0,0,2,0.5,FALSE,身体あり夜間２．０・深夜０．５
160214,964,あり,2,0,0,2,0.5,FALSE,身体あり夜間２．０・深夜０．５・２人
160215,"1,088",あり,1,0,0,2,1,FALSE,身体あり夜間２．０・深夜１．０
160216,"1,088",あり,2,0,0,2,1,FALSE,身体あり夜間２．０・深夜１．０・２人
160217,"1,068",あり,1,0,0,2.5,0.5,FALSE,身体あり夜間２．５・深夜０．５
160218,"1,068",あり,2,0,0,2.5,0.5,FALSE,身体あり夜間２．５・深夜０．５・２人
160219,83,あり,1,0,0.5,0,0,TRUE,身体あり日中増０．５
160220,83,あり,2,0,0.5,0,0,TRUE,身体あり日中増０．５・２人
160221,166,あり,1,0,1,0,0,TRUE,身体あり日中増１．０
160222,166,あり,2,0,1,0,0,TRUE,身体あり日中増１．０・２人
160223,249,あり,1,0,1.5,0,0,TRUE,身体あり日中増１．５
160224,249,あり,2,0,1.5,0,0,TRUE,身体あり日中増１．５・２人
160225,332,あり,1,0,2,0,0,TRUE,身体あり日中増２．０
160226,332,あり,2,0,2,0,0,TRUE,身体あり日中増２．０・２人
160227,415,あり,1,0,2.5,0,0,TRUE,身体あり日中増２．５
160228,415,あり,2,0,2.5,0,0,TRUE,身体あり日中増２．５・２人
160229,498,あり,1,0,3,0,0,TRUE,身体あり日中増３．０
160230,498,あり,2,0,3,0,0,TRUE,身体あり日中増３．０・２人
160231,581,あり,1,0,3.5,0,0,TRUE,身体あり日中増３．５
